"textid","textcaption"
"145","ЯРОСЛАВСКАЯ ОБЛАСТЬ<BR>РЯЗАНСКАЯ ОБЛАСТЬ<BR>КИРГИЗСКАЯ ССР"
"146","ТАДЖИКСКАЯ С.С.Р."
"147","СЕВЕРО-ОСЕТИНСКАЯ АССР"
"148","КИРОВСКАЯ ОБЛАСТЬ"
"149","Гор.ВОРОНЕЖ. ЮГО-ВОСТОЧНАЯ ж.д."
"150","КОМИ АССР<BR>КАБАРДИНО-БАЛКАРСКАЯ АССР<BR>ТУРКМЕНСКАЯ ССР"
"151","УКРАИНСКАЯ С.С.Р.<BR>Гор.ХАРЬКОВ. ЮЖНАЯ жел.дор."
"152","СВЕРДЛОВСКАЯ ОБЛАСТЬ<BR>Гор.СВЕРДЛОВСК. Жел.дор.им.КАГАНОВИЧА"
"153","Гор.РОСТОВ н/Д - Ж.Д.им.ВОРОШИЛОВА"
"154","Гор.ОРДЖОНИКИДЗЕ - ОРДЖОНИКИДЗЕВСКАЯ Ж.Д."
"155","ИРКУТСКАЯ ОБЛАСТЬ"
"156","Гор.ЧИТА.- ЗАБАЙКАЛЬСКИЙ ВОЕННЫЙ ОКРУГ."
"157","БУРЯТО-МОНГОЛЬСКАЯ АССР"
"158","МОСКВА-ЦЕНТР<BR>Гор.МОСКВА. Жел.дор.им.ДЗЕРЖИНСКОГО<BR>Гор.КАЛУГА. МОСКОВСКО-КИЕВСКАЯ ж.д."
"159","СПИСОК №-1<BR>ЛИЦ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХСУДА СОЮЗА ССР"
"160","СПИСОК №-2<BR>БЫВ.ВОЕННЫХ РАБОТНИКОВ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХСУДА СССР"
"161","СПИСОК №-3<BR>БЫВ.СОТРУДНИКОВ НКВД, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХСУДА СОЮЗА ССР"
"162","СПИСОК №-4<BR>ЖЕН ВРАГОВ НАРОДА, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХСУДА СОЮЗА ССР"
"163","АЗЕРБАЙДЖАНСКАЯ С.С.Р.<BR>КАЛМЫЦКАЯ АССР<BR>КОМИ АССР<BR>МОРДОВСКАЯ АССР<BR>РЯЗАНСКАЯ ОБЛ.<BR>ТАДЖИКСКАЯ ССР<BR>Гор.ТБИЛИСИ.- ЗАКАВСКЗСКАЯ ж.д.<BR>Гор.РЖЕВ.- КАЛИНИНСКАЯ жел.дор.<BR>Гор.КУЙБЫШЕВ.- КУЙБЫШЕВ.жел.дор."
"164","ЯРОСЛАВСКАЯ ОБЛАСТЬ<BR>Гор. Ярославль. ЯРОСЛАВСКАЯ ЖЕЛЕЗНАЯ ДОРОГА"
"165","ЧЕЧЕНО-ИНГУШСКАЯ АССР"
"166","УКРАИНСКАЯ С.С.Р.<BR>Гор.КИЕВ.- ЮГО-ЗАПАДНАЯ ж.д.<BR>Гор.ОДЕССА.- ОДЕССКАЯ ж.д.<BR>г.ДНЕПРОПЕТРОВСК.СТАЛИНСК.жд.<BR>Гор.АРТЕМОВСК.СЕВ.ДОНЕЦ.ж.д.<BR>Гор.ХАРЬКОВ.- ЮЖНАЯ жел.дор."
"167","УЗБЕКСКАЯ С.С.Р.<BR>Гор.ТАШКЕНТ.- ТАШКЕНТСКАЯ жд."
"168","ТУЛЬСКАЯ ОБЛАСТЬ"
"169","ТАТАРСКАЯ АССР"
"170","СТАЛИНГРАДСКАЯ ОБЛАСТЬ<BR>гор.СТАЛИНГРАД - СТАЛИНГРАДСКАЯ ЖЕЛ.ДОРОГА"
"171","СМОЛЕНСКАЯ ОБЛАСТЬ<BR>Гор.СМОЛЕНСК.- ЗАПАДНАЯ жел.дор."
"172","САРАТОВСКАЯ ОБЛАСТЬ<BR>Гор.САРАТОВ. РЯЗАНО-УРАЛЬСКАЯ ж.д."
"173","ОМСКАЯ ОБЛАСТЬ<BR>Гор.ОМСК.- ОМСКАЯ жел.дор."
"174","НОВОСИБИРСКАЯ ОБЛАСТЬ<BR>ГОР.НОВОСИБИРСК. ТОМСКАЯ ЖЕЛ.ДОРОГА"
"175","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ<BR>Гор.ЛЕНИНГРАД.- ОКТЯБРЬСКАЯ жел.дор.<BR>Гор.ЛЕНИНГРАД.- КИРОВСКАЯ жел.дор."
"176","КРЫМСКАЯ АССР"
"177","КИРГИЗСКАЯ С.С.Р."
"178","КАЗАХСКАЯ С.С.Р.<BR>Гор.АЛМА-АТА.- ТУРКСИБ.жел.дор."
"179","УПРАВЛЕНИЕ НКВД ПО ДАЛЬСТРОЮ"
"180","ВОРОНЕЖСКАЯ ОБЛАСТЬ<BR>Гор. ВОРОНЕЖ.- ЮГО-ВОСТОЧНАЯ ж.д.<BR>Гор. ВОРОНЕЖ. МОСК.ДОНБАССК.ж.д."
"181","ВОЛОГОДСКАЯ ОБЛАСТЬ<BR>Гор.ВОЛОГДА.- СЕВЕРНАЯ жел.дор."
"182","Гор.Ашхабад - АШХАБАДСКАЯ ЖЕЛ.ДОР."
"183","МОСКОВСКАЯ ОБЛАСТЬ<BR>ДТО УГБ УНКВД МО по МЕТРО<BR>МОСКОВСКО-ОКРУЖНАЯ жел.дор.<BR>Жел.дор.имени ДЗЕРЖИНСКОГО<BR>ЛЕНИНСКАЯ железная дорога<BR>БЕЛБАЛТЛАГ НКВД<BR>ВОЛГОЛАГ НКВД"
"184","ОРЕНБУРГСКАЯ ОБЛАСТЬ<BR>ГОР.ОРЕНБУРГ ОРЕНБУРГСК.ЖЕЛ.ДОР."
"185","СПИСКИ<BR>ЛИЦ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХОВНОГО СУДА СОЮЗА ССР"
